#separator:tab
#html:true
#notetype:Mandarin Vocabulary
#deck:Mandarin::Vocabulary
#columns:Hanzi	Pinyin	English	ExampleHanzi	ExamplePinyin	ExampleEnglish	Notes
你好	nǐ hǎo	hello	你好，很高兴认识你。	Nǐ hǎo, hěn gāoxìng rènshi nǐ.	Hello, nice to meet you.	Standard greeting; literally "you good".
谢谢	xièxie	thank you	谢谢你的帮助。	Xièxie nǐ de bāngzhù.	Thanks for your help.	Reply with 不客气 (bù kèqi) — "you're welcome".
对不起	duìbuqǐ	sorry / excuse me	对不起，我迟到了。	Duìbuqǐ, wǒ chídào le.	Sorry, I'm late.	More formal than 不好意思 (bù hǎoyìsi).
吃	chī	to eat	你吃饭了吗？	Nǐ chīfàn le ma?	Have you eaten?	Common greeting around mealtimes.
水	shuǐ	water	请给我一杯水。	Qǐng gěi wǒ yì bēi shuǐ.	Please give me a glass of water.	Measure word: 杯 (bēi) for cups/glasses.
学习	xuéxí	to study / learn	我在学习中文。	Wǒ zài xuéxí Zhōngwén.	I am studying Chinese.	学 alone also means "to learn"; 习 implies practice.
朋友	péngyou	friend	他是我的好朋友。	Tā shì wǒ de hǎo péngyou.	He is my good friend.	好朋友 = "good/close friend".
今天	jīntiān	today	今天天气很好。	Jīntiān tiānqì hěn hǎo.	The weather is great today.	昨天 = yesterday, 明天 = tomorrow.
喜欢	xǐhuan	to like	我喜欢喝茶。	Wǒ xǐhuan hē chá.	I like to drink tea.	Followed by a verb or noun.
中国	Zhōngguó	China	我想去中国旅游。	Wǒ xiǎng qù Zhōngguó lǚyóu.	I want to travel to China.	Literally "Middle Country/Kingdom".
